% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 42.01    0.000313         313         1           execve
 12.89    0.000096          12         8           mmap
  9.13    0.000068           5        12        10 openat
  8.46    0.000063           4        14        10 newfstatat
  6.98    0.000052          13         4           mprotect
  3.76    0.000028           4         7           rt_sigaction
  2.28    0.000017           5         3           brk
  2.15    0.000016          16         1           munmap
  1.88    0.000014           3         4           pread64
  0.94    0.000007           3         2           close
  0.94    0.000007           3         2           geteuid
  0.81    0.000006           6         1           read
  0.81    0.000006           6         1         1 access
  0.81    0.000006           3         2         1 arch_prctl
  0.67    0.000005           5         1           chdir
  0.67    0.000005           5         1           prlimit64
  0.54    0.000004           4         1           getpid
  0.54    0.000004           4         1           getuid
  0.54    0.000004           4         1           getgid
  0.54    0.000004           4         1           getegid
  0.54    0.000004           4         1           getppid
  0.54    0.000004           4         1           set_tid_address
  0.54    0.000004           4         1           set_robust_list
  0.54    0.000004           4         1           getrandom
  0.54    0.000004           4         1           rseq
------ ----------- ----------- --------- --------- ----------------
100.00    0.000745          10        73        22 total
