% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 38.78    0.004307           4      1012           read
 25.02    0.002778           2      1036        22 openat
 15.98    0.001775           1      1014           close
 11.10    0.001233           2       531        13 newfstatat
  8.55    0.000949         474         2           getdents64
  0.28    0.000031           0        50           mmap
  0.13    0.000014           0        16           mprotect
  0.11    0.000012           3         4           write
  0.04    0.000004           2         2           lseek
  0.02    0.000002           2         1           futex
  0.00    0.000000           0         1           munmap
  0.00    0.000000           0         3           brk
  0.00    0.000000           0        22           rt_sigaction
  0.00    0.000000           0         2           ioctl
  0.00    0.000000           0         4           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           geteuid
  0.00    0.000000           0         6         4 prctl
  0.00    0.000000           0         2         1 arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           prlimit64
  0.00    0.000000           0         1           getrandom
  0.00    0.000000           0         1           rseq
------ ----------- ----------- --------- --------- ----------------
100.00    0.011105           2      3716        41 total
